component,fusion_weight,train_R2,val_R2,test_R2,train_RMSE,val_RMSE,test_RMSE
nn,0.000000,0.9695333231,0.8276154457,0.8249902522,0.4896774617,1.1164305390,1.1747167598
hgb,0.000000,0.7092686637,0.6385729349,0.6363239176,1.5126675631,1.6165638702,1.6933994546
rf,0.000000,0.7489448268,0.6779441169,0.5790583625,1.4056660617,1.5259775735,1.8218515590
etr,0.000000,0.9829594279,0.7282427406,0.6764011954,0.3662179755,1.4017582140,1.5973699121
nn_plus_res_hgb,0.000000,0.9774595443,0.8281027335,0.8302369366,0.4211908407,1.1148514882,1.1569741275
nn_plus_res_rf,1.000000,0.9786364985,0.8303824144,0.8286396449,0.4100471427,1.1074343012,1.1624043383
stack_ridge_oof,0.000000,0.9745991533,0.8290626829,0.8262508667,0.4471175003,1.1117342212,1.1704783065
stack_hgb_oof,0.000000,0.9758970328,0.8300047100,0.8262300366,0.4355447940,1.1086666331,1.1705484665
